term,estimate,std.error,statistic,p.value
airline_namePegasus Airlines,0.6134437240746001,4.600136162108374,0.1333533839992774,0.8939228246514104
airline_nameAir Europa,-0.6005639278089483,8.786606420003547,-0.06834992932444399,0.9455116190410666
reporting_airportBelfast International,-0.5705080241396446,1.7261611405947415,-0.33050681696094636,0.7410400452213104
airline_nameNorwegian Air Shuttle Aoc As,-0.5625089623935362,4.371480557183833,-0.12867699056081633,0.897621839616615
airline_nameDan Air (Aoc) S.r.l,-0.557640163933888,6.836713161302219,-0.08156553460371765,0.9349976323116855
airline_nameEmirates,0.4746518146318381,4.81505925341324,0.09857652619650999,0.9214810724566893
airline_nameFreebird Airlines,-0.47430620569554227,6.844976115877779,-0.0692926019997834,0.9447613171115157
reporting_airportBelfast City (George Best),0.4534441280454284,2.2161779264208015,0.20460637326974698,0.8378935091758996
airline_nameThy Turkish Airlines,0.31167641424590115,5.270933115473069,0.05913116471369378,0.9528515614712394
airline_nameChina Eastern Airlines,0.29848704580756585,6.005754220457722,0.049700176672367556,0.9603646131989401
reporting_airportIsle Of Man,0.21933902391807736,2.727410884089725,0.08042023488194809,0.9359083802518968
airline_nameAir China,-0.15389291489236712,5.557364130906598,-0.02769170982273963,0.9779098715148464
flights_cancelled_percent,0.1456030191578928,0.07927449903508958,1.8366942829048214,0.06635359077144651
reporting_airportExeter,0.07552201623664402,2.432741755446633,0.03104399226410234,0.9752365139857261
airline_nameKuwait Airways,0.015505974532479878,6.8011163911343475,0.0022799160668229147,0.998181042829287
airline_nameEtihad Airways,-0.013295462037789134,6.803166225541874,-0.0019543050393025117,0.9984408206802704
airline_nameVirgin Atlantic Airways Ltd,-0.007882714720312269,4.175193071517302,-0.0018879880727162687,0.9984937294717402
